category,title,packsize,price,price_per_unit,image
beauty/,LACURA® Retractable Eyeliner or Eyebrow Pencil 0.3g,0.3g,4.99,$166.33 per 10g,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2362_Retractable_Eyeliner_or_Eyebrow_Pencil_0.3g_1x1_228x128__d6c4e2abe1.jpg
pantry/olive-oil/,Just Organic Extra Virgin Olive Oil 500ml,N/A,4.6899999999999995,94c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/5/7/csm_ALN2230_Q1_OLIVE_OIL_1x1_228x128__a535a40aec.jpg
pantry/olive-oil/,Remano Olive Oil / Mild Olive Oil 1L,ea,5.99,60c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/b/a/csm_ALN1075_OLIVE-OIL_1x1_228x128_3_01_903bd437f6.jpg
pantry/olive-oil/,The Olive Tree Australian Extra Virgin Olive Oil Spray 225g,N/A,2.99,$1.33 per 100g,https://www.aldi.com.au/fileadmin/_processed_/f/b/csm_ALN1726-3_1x1_OLIVE-OIL_228x128__1ed3ae0fb0.jpg
pantry/olive-oil/,The Olive Tree Australian Extra Virgin Olive Oil 1L – Classic,N/A,8.99,90c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/4/b/csm_ALN2364_AWARDS_OILS-SAUCES_1x1_228x128__905cf88253.jpg
pantry/olive-oil/,The Olive Tree Australian Extra Virgin Olive Oil 3L,N/A,23.99,80c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/6/9/csm_ALN2364_AWARDS_OILS-SAUCES_1x1_228x128_2_97c6e8fa85.jpg
pantry/olive-oil/,Remano Extra Virgin Olive Oil 3.78L,N/A,19.99,53c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN1136_1x1_OIL_228x128_3_ad13e61490.jpg
pantry/olive-oil/,Cobram Estate  Australia Extra Virgin Olive Oil 500ml,ea,7.99,$1.60 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_ALN1075_OLIVE-OIL_1x1_228x128_3_2e4e733cf5.jpg
pantry/just-organic/,Just Organic Pasta Sauces 500g,N/A,2.49,50c per 100g,https://www.aldi.com.au/fileadmin/_processed_/9/f/csm_ALN2745_Q2_WEB_AUDIT__JUST-ORGANIC__1x1_228x128_1_a02c6a78fe.jpg
pantry/just-organic/,Just Organic Passata 690g,N/A,2.09,30c per 100g,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2230_Q1_ORGANIC_1x1_228x128_3_fb7f52bc89.jpg
